mean,se,outcome,curr_change,pre_change,group,region,lci,uci,exposure_type
-1.5168540020340768,0.003463017833699639,WAZ,-1,-1,49 to 60,Rural,-1.523641516988128,-1.5100664870800256,Both minus 1000pp
-0.8573722696965161,0.0018865366336311576,WHZ,-1,-1,49 to 60,Rural,-0.8610698814984332,-0.8536746578945991,Both minus 1000pp
-0.5275016192227704,0.011455930157332938,HAZ,0,0,0 to 6,Urban,-0.5499552423311429,-0.5050479961143979,Baseline
-1.1008671109692543,0.007497534343643543,WAZ,0,0,0 to 6,Urban,-1.1155622782827956,-1.086171943655713,Baseline
-0.8653741665567531,0.008042527245548183,WHZ,0,0,0 to 6,Urban,-0.8811375199580276,-0.8496108131554787,Baseline
-0.5473003014351377,0.01137200585178818,HAZ,-1,0,0 to 6,Urban,-0.5695894329046426,-0.5250111699656329,Current minus 1000pp
-1.117073702640532,0.0073434495816298625,WAZ,-1,0,0 to 6,Urban,-1.1314668638205265,-1.1026805414605374,Current minus 1000pp
-0.8691117574186618,0.00800438811241682,WHZ,-1,0,0 to 6,Urban,-0.8848003581189987,-0.8534231567183248,Current minus 1000pp
-0.49717189154581587,0.011455930157332938,HAZ,0,-1,0 to 6,Urban,-0.5196255146541884,-0.4747182684374433,Previous minus 1000pp
-1.0933384936971657,0.007497534343643543,WAZ,0,-1,0 to 6,Urban,-1.108033661010707,-1.0786433263836244,Previous minus 1000pp
-0.8823208548429987,0.008042527245548183,WHZ,0,-1,0 to 6,Urban,-0.8980842082442732,-0.8665575014417243,Previous minus 1000pp
-0.5169705737581832,0.01137200585178818,HAZ,-1,-1,0 to 6,Urban,-0.5392597052276881,-0.4946814422886784,Both minus 1000pp
-1.1095450853684437,0.007343449581629863,WAZ,-1,-1,0 to 6,Urban,-1.1239382465484382,-1.095151924188449,Both minus 1000pp
-0.8860584457049073,0.00800438811241682,WHZ,-1,-1,0 to 6,Urban,-0.9017470464052443,-0.8703698450045704,Both minus 1000pp
-0.6601580667421639,0.017729523846299552,HAZ,0,0,7 to 12,Urban,-0.6949079334809111,-0.6254082000034168,Baseline
-0.9307679998169043,0.011860923873910518,WAZ,0,0,7 to 12,Urban,-0.9540154106097689,-0.9075205890240396,Baseline
-0.6832670739959611,0.009573741400504952,WHZ,0,0,7 to 12,Urban,-0.7020316071409508,-0.6645025408509714,Baseline
-0.646179809221207,0.017634163650610973,HAZ,-1,0,7 to 12,Urban,-0.6807427699764045,-0.6116168484660095,Current minus 1000pp
-0.9238341525029589,0.011902203774014698,WAZ,-1,0,7 to 12,Urban,-0.9471624719000277,-0.90050583310589,Current minus 1000pp
-0.6861568370000379,0.009533290986878369,WHZ,-1,0,7 to 12,Urban,-0.7048420873343195,-0.6674715866657563,Current minus 1000pp
-0.6453911336140876,0.017727466844273464,HAZ,0,-1,7 to 12,Urban,-0.6801369686288636,-0.6106452985993116,Previous minus 1000pp
-0.9190942702134924,0.011861568902472558,WAZ,0,-1,7 to 12,Urban,-0.9423429452623386,-0.8958455951646462,Previous minus 1000pp
-0.6781003066176657,0.009574900609292796,WHZ,0,-1,7 to 12,Urban,-0.6968671118118797,-0.6593335014234518,Previous minus 1000pp
-0.6314128760931308,0.017632172603952112,HAZ,-1,-1,7 to 12,Urban,-0.665971934396877,-0.5968538177893846,Both minus 1000pp
-0.9121604228995471,0.011902891340742466,WAZ,-1,-1,7 to 12,Urban,-0.9354900899274023,-0.8888307558716919,Both minus 1000pp
-0.6809900696217425,0.009534444802914809,WHZ,-1,-1,7 to 12,Urban,-0.6996775814354554,-0.6623025578080295,Both minus 1000pp
-1.1942601156781663,0.012021384985866503,HAZ,0,0,13 to 18,Urban,-1.2178220302504645,-1.170698201105868,Baseline
-0.9851830892807233,0.01024251260624799,WAZ,0,0,13 to 18,Urban,-1.0052584139889693,-0.9651077645724773,Baseline
-0.5621011160470721,0.009155158374778774,WHZ,0,0,13 to 18,Urban,-0.5800452264616386,-0.5441570056325057,Baseline
-1.2013226856214922,0.012028114473030031,HAZ,-1,0,13 to 18,Urban,-1.224897789988631,-1.1777475812543534,Current minus 1000pp
-0.983899009671639,0.010248073398663677,WAZ,-1,0,13 to 18,Urban,-1.0039852335330197,-0.9638127858102582,Current minus 1000pp
-0.5542790830538893,0.00920566510150585,WHZ,-1,0,13 to 18,Urban,-0.5723221866528407,-0.5362359794549378,Current minus 1000pp
-1.189678982840138,0.012021340904158802,HAZ,0,-1,13 to 18,Urban,-1.2132408110122892,-1.1661171546679867,Previous minus 1000pp
-0.9994270217070195,0.01024024302540932,WAZ,0,-1,13 to 18,Urban,-1.0194978980368217,-0.9793561453772172,Previous minus 1000pp
-0.5842181590760221,0.009149783417622268,WHZ,0,-1,13 to 18,Urban,-0.6021517345745618,-0.5662845835774825,Previous minus 1000pp
-1.1967415527834635,0.012028060983771816,HAZ,-1,-1,13 to 18,Urban,-1.2203165523116564,-1.1731665532552706,Both minus 1000pp
-0.9981429420979353,0.010245798789969476,WAZ,-1,-1,13 to 18,Urban,-1.0182247077262754,-0.9780611764695951,Both minus 1000pp
-0.5763961260828393,0.009200253715671776,WHZ,-1,-1,13 to 18,Urban,-0.594428623365556,-0.5583636288001226,Both minus 1000pp
-1.4539579875652697,0.016420033265234793,HAZ,0,0,19 to 24,Urban,-1.4861412527651299,-1.4217747223654096,Baseline
-1.1467118230365478,0.011737576643364663,WAZ,0,0,19 to 24,Urban,-1.1697174732575426,-1.123706172815553,Baseline
-0.5803493294038204,0.009745433507514379,WHZ,0,0,19 to 24,Urban,-0.5994503790785486,-0.5612482797290923,Baseline
-1.4542148375562256,0.016420971284083243,HAZ,-1,0,19 to 24,Urban,-1.4863999412730287,-1.4220297338394225,Current minus 1000pp
-1.1424180161822637,0.011709185865295442,WAZ,-1,0,19 to 24,Urban,-1.1653680204782428,-1.1194680118862845,Current minus 1000pp
-0.5734880190149413,0.00970839036037163,WHZ,-1,0,19 to 24,Urban,-0.5925164641212697,-0.5544595739086129,Current minus 1000pp
-1.4125725825049757,0.016419311415137812,HAZ,0,-1,19 to 24,Urban,-1.444754432878646,-1.3803907321313056,Previous minus 1000pp
-1.1408149096343316,0.01173749201753622,WAZ,0,-1,19 to 24,Urban,-1.1638203939887026,-1.1178094252799606,Previous minus 1000pp
-0.6026645754314667,0.00974534358902962,WHZ,0,-1,19 to 24,Urban,-0.6217654488659647,-0.5835637019969686,Previous minus 1000pp
-1.4128294324959316,0.01642024727050802,HAZ,-1,-1,19 to 24,Urban,-1.4450131171461273,-1.380645747845736,Both minus 1000pp
