phase,c_age,variable,estimate,lci,uci,type
1,52,c_whz,-0.7179487636628444,-0.8253558403099132,-0.6105416870157757,Continuous
1,52,c_bmiz,-0.6056250888702848,-0.7144622496931756,-0.49678792804739397,Continuous
1,53,c_haz,-1.5633686615194182,-1.6868248408749082,-1.4399124821639282,Continuous
1,53,c_waz,-1.4949243762530227,-1.5826683739282934,-1.407180378577752,Continuous
1,53,c_whz,-0.8287133140535057,-0.941571273926533,-0.7158553541804784,Continuous
1,53,c_bmiz,-0.6919824819892852,-0.8043212818120533,-0.5796436821665172,Continuous
1,54,c_haz,-1.5862580571297697,-1.693341777896929,-1.4791743363626104,Continuous
1,54,c_waz,-1.449574592361185,-1.5351957311685653,-1.3639534535538045,Continuous
1,54,c_whz,-0.7354064627659691,-0.8392071578175128,-0.6316057677144254,Continuous
1,54,c_bmiz,-0.6232151209588922,-0.7264827432282018,-0.5199474986895826,Continuous
1,55,c_haz,-1.6004853501708791,-1.709989699537835,-1.4909810008039233,Continuous
1,55,c_waz,-1.5400811713000027,-1.6286394709856167,-1.4515228716143886,Continuous
1,55,c_whz,-0.8658843039227896,-0.970930008629806,-0.7608385992157731,Continuous
1,55,c_bmiz,-0.7535501870336656,-0.8579404211103209,-0.6491599529570103,Continuous
1,56,c_haz,-1.6383081868863851,-1.7587289673502173,-1.517887406422553,Continuous
1,56,c_waz,-1.4990299137806327,-1.591988865337447,-1.4060709622238183,Continuous
1,56,c_whz,-0.7689239330581534,-0.8751206446560905,-0.6627272214602163,Continuous
1,56,c_bmiz,-0.6438409178144773,-0.747204481554896,-0.5404773540740585,Continuous
1,57,c_haz,-1.6854813411148946,-1.8048092322587255,-1.5661534499710636,Continuous
1,57,c_waz,-1.453289186795161,-1.5391720692526423,-1.3674063043376796,Continuous
1,57,c_whz,-0.6548891579139523,-0.7598185056058243,-0.5499598102220803,Continuous
1,57,c_bmiz,-0.543098254807594,-0.64714461266395,-0.43905189695123803,Continuous
1,58,c_haz,-1.8861109640265874,-2.003592980562915,-1.7686289474902597,Continuous
1,58,c_waz,-1.6733396471499307,-1.7675327054964978,-1.5791465888033636,Continuous
1,58,c_whz,-0.8036698531466271,-0.9147609761882464,-0.6925787301050078,Continuous
1,58,c_bmiz,-0.6775534870234912,-0.7866701827060182,-0.5684367913409641,Continuous
1,59,c_haz,-1.8820372488883086,-1.995359401193117,-1.7687150965835001,Continuous
1,59,c_waz,-1.679690494962461,-1.7690463564317493,-1.5903346334931725,Continuous
1,59,c_whz,-0.8243732363660609,-0.9308132816829958,-0.7179331910491259,Continuous
1,59,c_bmiz,-0.6982346178433261,-0.8029481179235718,-0.5935211177630804,Continuous
2,0,c_haz,-0.7849626116510467,-0.9705610420423342,-0.5993641812597593,Continuous
2,0,c_waz,-1.1165070567600484,-1.243814998030484,-0.9891991154896126,Continuous
2,0,c_whz,-1.0197066532033445,-1.2027789211147022,-0.836634385291987,Continuous
2,0,c_bmiz,-1.011753103190551,-1.1482302230415682,-0.8752759833395336,Continuous
2,1,c_haz,-0.9672036472542198,-1.114913845274881,-0.8194934492335587,Continuous
2,1,c_waz,-1.3993193371159283,-1.512360610610497,-1.2862780636213595,Continuous
2,1,c_whz,-0.7886669895396854,-1.0109310158676765,-0.5664029632116941,Continuous
2,1,c_bmiz,-1.229304007774696,-1.3977649621554302,-1.0608430533939617,Continuous
2,2,c_haz,-0.9539414276738032,-1.0958802395861418,-0.8120026157614646,Continuous
2,2,c_waz,-1.3903078711962369,-1.4901411317351019,-1.290474610657372,Continuous
2,2,c_whz,-0.7072807922532242,-0.8493250609237447,-0.5652365235827036,Continuous
2,2,c_bmiz,-1.1667433530581397,-1.2806957746977585,-1.0527909314185209,Continuous
2,3,c_haz,-0.7524792192851057,-0.8886207538117814,-0.6163376847584301,Continuous
2,3,c_waz,-1.3443675420291723,-1.441124156003955,-1.2476109280543897,Continuous
2,3,c_whz,-0.9322061463910174,-1.0576824747645084,-0.8067298180175263,Continuous
2,3,c_bmiz,-1.2324062711089723,-1.3396572242300597,-1.1251553179878848,Continuous
2,4,c_haz,-0.6661063101698012,-0.7875563349811516,-0.5446562853584507,Continuous
2,4,c_waz,-1.2550149472687533,-1.3416612162509738,-1.1683686782865328,Continuous
2,4,c_whz,-0.9565922474545009,-1.0705560707520059,-0.8426284241569958,Continuous
2,4,c_bmiz,-1.1592476593193737,-1.2633528870563187,-1.0551424315824287,Continuous
2,5,c_haz,-0.5257114892445118,-0.6594944552587969,-0.3919285232302267,Continuous
2,5,c_waz,-1.231211211109726,-1.3226032147077527,-1.1398192075116993,Continuous
2,5,c_whz,-1.0522309253939224,-1.164415294609554,-0.9400465561782907,Continuous
2,5,c_bmiz,-1.2348825037872957,-1.3415822699437159,-1.1281827376308755,Continuous
2,6,c_haz,-0.5363448599428987,-0.6828888034475644,-0.38980091643823295,Continuous
2,6,c_waz,-1.0712302783498107,-1.1661773076284214,-0.9762832490711999,Continuous
2,6,c_whz,-0.8320926022326843,-0.9602251577696785,-0.7039600466956901,Continuous
2,6,c_bmiz,-0.9977999836891842,-1.1191936946859744,-0.876406272692394,Continuous
2,7,c_haz,-0.7045787166940334,-0.855682070299518,-0.5534753630885487,Continuous
2,7,c_waz,-1.1113447500264977,-1.2299814643830733,-0.9927080356699219,Continuous
2,7,c_whz,-0.7848228474009742,-0.9199468867215002,-0.6496988080804482,Continuous
2,7,c_bmiz,-0.9389061928455943,-1.0730918778488647,-0.8047205078423239,Continuous
2,8,c_haz,-0.7204651958885417,-0.8794809476488465,-0.5614494441282369,Continuous
2,8,c_waz,-1.1724236403045893,-1.27337408300561,-1.0714731976035687,Continuous
2,8,c_whz,-0.9058751168424705,-1.0398858908880362,-0.7718643427969046,Continuous
2,8,c_bmiz,-0.9865521258250974,-1.1205000812483772,-0.8526041704018177,Continuous
2,9,c_haz,-0.856405838767432,-1.0055166199443326,-0.7072950575905315,Continuous
2,9,c_waz,-1.1287465534717183,-1.2321737154506118,-1.0253193914928247,Continuous
2,9,c_whz,-0.7993868561121165,-0.9219435770635632,-0.6768301351606697,Continuous
2,9,c_bmiz,-0.8462528498654605,-0.9732678214357362,-0.7192378782951847,Continuous
2,10,c_haz,-0.8825603070007858,-1.0340256443939093,-0.7310949696076623,Continuous
2,10,c_waz,-1.137234980548303,-1.2401181904050245,-1.0343517706915817,Continuous
2,10,c_whz,-0.8543030747835416,-0.9826647949318366,-0.7259413546352467,Continuous
2,10,c_bmiz,-0.8528174601914066,-0.9872110699755765,-0.7184238504072367,Continuous
2,11,c_haz,-1.0455017646037146,-1.2123498067143987,-0.8786537224930304,Continuous
2,11,c_waz,-1.1587966476249036,-1.2687083190411488,-1.0488849762086585,Continuous
2,11,c_whz,-0.7947202627232737,-0.9125462214027632,-0.6768943040437841,Continuous
2,11,c_bmiz,-0.7464935101389705,-0.8697160833238512,-0.6232709369540897,Continuous
2,12,c_haz,-1.0481596248766791,-1.1864885644615448,-0.9098306852918135,Continuous
2,12,c_waz,-1.1585352689650537,-1.2550549306925416,-1.0620156072375657,Continuous
2,12,c_whz,-0.8354096531791665,-0.9537598621855942,-0.7170594441727388,Continuous
2,12,c_bmiz,-0.7276156967436334,-0.8525952341599855,-0.6026361593272812,Continuous
2,13,c_haz,-1.2690361848320804,-1.3861446160759916,-1.1519277535881691,Continuous
2,13,c_waz,-1.155771116380233,-1.249971759642993,-1.0615704731174733,Continuous
2,13,c_whz,-0.7200222738411509,-0.8417710031415554,-0.5982735445407464,Continuous
2,13,c_bmiz,-0.5558984408643086,-0.6840779943733112,-0.42771888735530605,Continuous
2,14,c_haz,-1.351585867589276,-1.4840433017485402,-1.2191284334300119,Continuous
2,14,c_waz,-1.1872786579286114,-1.2728154859257144,-1.1017418299315085,Continuous
2,14,c_whz,-0.7218303875231935,-0.8206320502327449,-0.6230287248136421,Continuous
2,14,c_bmiz,-0.5198630444841257,-0.6264830465226874,-0.413243042445564,Continuous
2,15,c_haz,-1.3196547521674558,-1.4523044492635244,-1.187005055071387,Continuous
2,15,c_waz,-1.1484766665103514,-1.237321244066215,-1.059632088954488,Continuous
2,15,c_whz,-0.7040857352680766,-0.8025566741666357,-0.6056147963695175,Continuous
2,15,c_bmiz,-0.4711009163809532,-0.5767325988928198,-0.36546923386908653,Continuous
2,16,c_haz,-1.3768387563072837,-1.4914199334020672,-1.2622575792125001,Continuous
2,16,c_waz,-1.1915716097815738,-1.2793929512349602,-1.1037502683281875,Continuous
2,16,c_whz,-0.7363226168105087,-0.8320606115768142,-0.6405846220442032,Continuous
2,16,c_bmiz,-0.500379292260902,-0.6016249792276639,-0.3991336052941402,Continuous
2,17,c_haz,-1.5753443284506519,-1.697446089874906,-1.4532425670263978,Continuous
2,17,c_waz,-1.272171627207591,-1.3701060258335105,-1.1742372285816713,Continuous
2,17,c_whz,-0.713713298353016,-0.8207396248818565,-0.6066869718241755,Continuous
2,17,c_bmiz,-0.40568774174812516,-0.5159758383183647,-0.29539964517788564,Continuous
2,18,c_haz,-1.5174898520352247,-1.6424083295502916,-1.3925713745201578,Continuous
2,18,c_waz,-1.315276858150558,-1.4042980452324791,-1.226255671068637,Continuous
2,18,c_whz,-0.8058260554328498,-0.9098727824861674,-0.7017793283795322,Continuous
2,18,c_bmiz,-0.535844871225787,-0.6504548285143484,-0.42123491393722545,Continuous
