phase,c_age,variable,estimate,lci,uci,type
1,25,c_overweight,2.364125108646217,1.0969383322875157,3.6313118850049184,Proportion
1,26,c_stunting,35.47139657681199,31.312395227590446,39.63039792603354,Proportion
1,26,c_underweight,20.723493691941542,17.378121015209732,24.06886636867335,Proportion
1,26,c_wasting,16.446018868018484,13.290933187619574,19.601104548417396,Proportion
1,26,c_overweight,3.693221450268444,2.0298563197808814,5.356586580756007,Proportion
1,27,c_stunting,34.43923569444041,30.484292982059713,38.39417840682111,Proportion
1,27,c_underweight,25.931866064114807,22.303299314330282,29.56043281389933,Proportion
1,27,c_wasting,19.1695152887166,15.856146727452124,22.48288384998107,Proportion
1,27,c_overweight,2.1916135453137273,1.0938481074797481,3.289378983147707,Proportion
1,28,c_stunting,38.47836083789639,34.383201285154946,42.57352039063784,Proportion
1,28,c_underweight,26.762970128461816,23.168640414297002,30.357299842626627,Proportion
1,28,c_wasting,16.667161950096276,13.638149654750272,19.69617424544228,Proportion
1,28,c_overweight,1.5447523170205504,0.6626628600595007,2.4268417739816,Proportion
1,29,c_stunting,33.789390704467856,30.00736138137099,37.57142002756473,Proportion
1,29,c_underweight,26.10670889151282,22.573596313260346,29.639821469765295,Proportion
1,29,c_wasting,18.827840920391917,15.509908039199734,22.1457738015841,Proportion
1,29,c_overweight,2.526618362574815,1.4325848770643186,3.6206518480853114,Proportion
1,30,c_stunting,37.40273810680444,33.723338555151805,41.08213765845707,Proportion
1,30,c_underweight,27.30332592304505,23.843404721511146,30.763247124578964,Proportion
1,30,c_wasting,18.17939417073339,15.000346529564847,21.358441811901926,Proportion
1,30,c_overweight,2.770615703564636,1.40266278771214,4.138568619417131,Proportion
1,31,c_stunting,34.318083305001856,30.267530935531894,38.36863567447182,Proportion
1,31,c_underweight,30.43739493429451,26.377482115623184,34.49730775296583,Proportion
1,31,c_wasting,19.084628687583326,15.472926653497538,22.69633072166911,Proportion
